"track","state","cov","estimate"
1,1,"step",-3.91038757098389
1,1,"log(step)",-1.00678077621622
1,1,"cos(angle)",0.273532799286562
1,1,"cov1",2.02335566218693
1,1,"cov2",0.309537022673233
1,2,"step",-2.15286887058819
1,2,"log(step)",2.10792661571451
1,2,"cos(angle)",4.7332623885222
1,2,"cov1",-0.446572359613682
1,2,"cov2",1.03744258221794
2,1,"step",-3.77957778048245
2,1,"log(step)",-0.981961946592225
2,1,"cos(angle)",0.108306303087744
2,1,"cov1",3.79627065931907
2,1,"cov2",-5.06507857289786
2,2,"step",-2.27203524391173
2,2,"log(step)",2.60048649960795
2,2,"cos(angle)",4.17262576099655
2,2,"cov1",-1.09376960615542
2,2,"cov2",5.56098956503701
3,1,"step",-3.03812686196889
3,1,"log(step)",-1.12024984755078
3,1,"cos(angle)",0.295335799375573
3,1,"cov1",1.18191778624414
3,1,"cov2",0.841829289256411
3,2,"step",-2.03037035130599
3,2,"log(step)",1.81911290022994
3,2,"cos(angle)",4.77186854519332
3,2,"cov1",-1.18593295008928
3,2,"cov2",0.867534836788341
4,1,"step",-4.16969879033599
4,1,"log(step)",-0.974933396988528
4,1,"cos(angle)",0.178969324366523
4,1,"cov1",1.88344500837448
4,1,"cov2",-1.08916784102554
4,2,"step",-2.37959176801489
4,2,"log(step)",2.61935785575761
4,2,"cos(angle)",5.05872553500769
4,2,"cov1",-2.82012619331138
4,2,"cov2",3.61525161773483
5,1,"step",-3.55914988511775
5,1,"log(step)",-1.05986712212776
5,1,"cos(angle)",0.185257798127545
5,1,"cov1",4.07948183093187
5,1,"cov2",-2.29693504235856
5,2,"step",-1.94601169656987
5,2,"log(step)",1.9410872169096
5,2,"cos(angle)",4.77077852963687
5,2,"cov1",-1.99485172303454
5,2,"cov2",0.339630871179234
6,1,"step",-3.27256945567639
6,1,"log(step)",-1.07069342059174
6,1,"cos(angle)",0.241646018181659
6,1,"cov1",1.82915229346408
6,1,"cov2",-0.306969718102933
6,2,"step",-2.23872828092951
6,2,"log(step)",2.24652199430358
6,2,"cos(angle)",5.10508637796039
6,2,"cov1",0.297446201508796
6,2,"cov2",4.43309668516299
7,1,"step",-4.15385142043613
7,1,"log(step)",-0.914537447300088
7,1,"cos(angle)",0.159191522775302
7,1,"cov1",0.140959881277509
7,1,"cov2",0.705754586465942
7,2,"step",-2.20249272300646
7,2,"log(step)",2.54855579104744
7,2,"cos(angle)",5.71204685053918
7,2,"cov1",0.194894825579624
7,2,"cov2",-0.226627338610151
8,1,"step",-3.49670027810679
8,1,"log(step)",-1.12610877862214
8,1,"cos(angle)",0.226292607758658
8,1,"cov1",1.70268116946667
8,1,"cov2",1.5176635915593
