"track","transition","cov","estimate"
1,"1-2","(Intercept)",-2.11834490929271
1,"1-2","cos(2 * pi * tod/24)",0.377894837657937
1,"1-2","sin(2 * pi * tod/24)",0.294539443577647
1,"2-1","(Intercept)",-2.39173284546618
1,"2-1","cos(2 * pi * tod/24)",-2.2935919630108
1,"2-1","sin(2 * pi * tod/24)",1.07334869507727
2,"1-2","(Intercept)",-2.33900467570629
2,"1-2","cos(2 * pi * tod/24)",0.56640027196174
2,"1-2","sin(2 * pi * tod/24)",0.346047462972089
2,"2-1","(Intercept)",-2.68118428040929
2,"2-1","cos(2 * pi * tod/24)",-2.15564512287786
2,"2-1","sin(2 * pi * tod/24)",1.45227151551792
3,"1-2","(Intercept)",-2.19176191835328
3,"1-2","cos(2 * pi * tod/24)",0.435765641660302
3,"1-2","sin(2 * pi * tod/24)",-0.590095538793516
3,"2-1","(Intercept)",-2.70833087078776
3,"2-1","cos(2 * pi * tod/24)",-2.14501626571823
3,"2-1","sin(2 * pi * tod/24)",1.36198605570925
4,"1-2","(Intercept)",-1.60350143527442
4,"1-2","cos(2 * pi * tod/24)",0.8553726432351
4,"1-2","sin(2 * pi * tod/24)",0.245717971303138
4,"2-1","(Intercept)",-1.70270689495515
4,"2-1","cos(2 * pi * tod/24)",-2.25839136692536
4,"2-1","sin(2 * pi * tod/24)",-0.045710424011947
5,"1-2","(Intercept)",-2.13498522817109
5,"1-2","cos(2 * pi * tod/24)",0.621644091775969
5,"1-2","sin(2 * pi * tod/24)",0.278793673560249
5,"2-1","(Intercept)",-2.41516637814281
5,"2-1","cos(2 * pi * tod/24)",-1.98255060309787
5,"2-1","sin(2 * pi * tod/24)",0.644858943064343
6,"1-2","(Intercept)",-1.86057861175062
6,"1-2","cos(2 * pi * tod/24)",0.689847064946188
6,"1-2","sin(2 * pi * tod/24)",0.228241079657164
6,"2-1","(Intercept)",-2.61865989159011
6,"2-1","cos(2 * pi * tod/24)",-2.92779363612804
6,"2-1","sin(2 * pi * tod/24)",1.67361717520013
7,"1-2","(Intercept)",-1.88890251562472
7,"1-2","cos(2 * pi * tod/24)",0.505561484043435
7,"1-2","sin(2 * pi * tod/24)",0.354295032613465
7,"2-1","(Intercept)",-2.29114926842883
7,"2-1","cos(2 * pi * tod/24)",-2.46883000043465
7,"2-1","sin(2 * pi * tod/24)",1.0459483357895
8,"1-2","(Intercept)",-2.13237050127333
8,"1-2","cos(2 * pi * tod/24)",1.03477369856197
8,"1-2","sin(2 * pi * tod/24)",0.269295502885507
8,"2-1","(Intercept)",-2.74608649829716
8,"2-1","cos(2 * pi * tod/24)",-2.727829336732
8,"2-1","sin(2 * pi * tod/24)",1.87881246012938
9,"1-2","(Intercept)",-2.19302668055256
9,"1-2","cos(2 * pi * tod/24)",0.114784425861339
9,"1-2","sin(2 * pi * tod/24)",0.0479864437197463
9,"2-1","(Intercept)",-2.45970041700527
9,"2-1","cos(2 * pi * tod/24)",-1.89325480891938
9,"2-1","sin(2 * pi * tod/24)",1.09837419889708
10,"1-2","(Intercept)",-1.99379229906534
10,"1-2","cos(2 * pi * tod/24)",0.653263107390755
10,"1-2","sin(2 * pi * tod/24)",0.0119414883378361
10,"2-1","(Intercept)",-2.13346101193886
10,"2-1","cos(2 * pi * tod/24)",-2.31610095589105
10,"2-1","sin(2 * pi * tod/24)",0.466551390091476
11,"1-2","(Intercept)",-2.34942976350903
11,"1-2","cos(2 * pi * tod/24)",0.751010467807835
11,"1-2","sin(2 * pi * tod/24)",-0.251076693100062
11,"2-1","(Intercept)",-2.14213194445751
11,"2-1","cos(2 * pi * tod/24)",-2.48430207696159
11,"2-1","sin(2 * pi * tod/24)",0.667131289454001
12,"1-2","(Intercept)",-1.93021637587848
12,"1-2","cos(2 * pi * tod/24)",0.835013915853059
12,"1-2","sin(2 * pi * tod/24)",0.131277533548548
12,"2-1","(Intercept)",-1.91580233646707
12,"2-1","cos(2 * pi * tod/24)",-1.7162304732901
12,"2-1","sin(2 * pi * tod/24)",0.956064462757805
13,"1-2","(Intercept)",-2.64151506666532
13,"1-2","cos(2 * pi * tod/24)",1.19759268015681
13,"1-2","sin(2 * pi * tod/24)",0.524154183273668
13,"2-1","(Intercept)",-2.4660330781304
13,"2-1","cos(2 * pi * tod/24)",-1.97008423724373
13,"2-1","sin(2 * pi * tod/24)",1.0512679768462
14,"1-2","(Intercept)",-2.11697406192129
